ID,PICKUP_TIME,PICKUP_ADDRESS,PICKUP_LONG,PICKUP_LAT
230216,2012-05-11 00:00:00,317 Washington St Boston Ma 02135,-71.152022,42.34903
230217,2012-05-11 00:00:00,Unnamed Road Boston Ma,-71.018663,42.369197
230218,2012-05-11 00:00:00,Beacon St @ Commonwealth Ave Boston Ma,-71.097962,42.348597999999996
230219,2012-05-11 00:00:00,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.096017,42.348735
230228,2012-05-11 00:00:00,400 Boylston St Boston Ma 02116,-71.072253,42.351457
230229,2012-05-11 00:00:00,Huntington Ave @ I-90 Boston Ma,-71.078497,42.347902000000005
230230,2012-05-11 00:01:00,149 Dartmouth St Boston Ma 02116,-71.076162,42.347743
230231,2012-05-11 00:01:00,58 Brookline Ave Boston Ma 02215,-71.098513,42.347305
230232,2012-05-11 00:01:00,840 Boylston St Boston Ma 02199,-71.08287299999999,42.34858
230233,2012-05-11 00:01:00,810 Boylston St Boston Ma 02199,-71.08246,42.348615
230234,2012-05-11 00:01:00,168 Northern Ave Boston Ma 02210,-71.042797,42.350453
230235,2012-05-11 00:01:00,80 Bromfield St Boston Ma 02108,-71.060912,42.357165
230236,2012-05-11 00:01:00,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.096745,42.348745
230239,2012-05-11 00:02:00,840 Boylston St Boston Ma 02199,-71.08296800000001,42.348557
230242,2012-05-11 00:02:00,107 Causeway St Boston Ma 02114,-71.061647,42.365472
230243,2012-05-11 00:02:00,490 E Broadway Boston Ma 02127,-71.04524,42.335522
230244,2012-05-11 00:02:00,80 Cambridge Street Ave Boston Ma 02114,-71.070355,42.36163
230245,2012-05-11 00:02:00,280 Portland St Boston Ma 02114,-71.062395,42.364787
230254,2012-05-11 00:02:00,Charles St @ Cambridge St Boston Ma,-71.070695,42.361675
230255,2012-05-11 00:03:00,Unnamed Road Boston Ma,-71.054047,42.356035
230256,2012-05-11 00:03:00,1220 Commonwealth Ave Boston Ma,-71.13079300000001,42.350637
230257,2012-05-11 00:03:00,660 Atlantic Ave Boston Ma 02111,-71.05569,42.352253000000005
230258,2012-05-11 00:03:00,101 Tremont St Boston Ma 02108,-71.06124,42.357368
230259,2012-05-11 00:03:00,Unnamed Road Boston Ma,-71.057007,42.359152
230260,2012-05-11 00:03:00,Unnamed Road Boston Ma,-71.07861700000001,42.348308
230263,2012-05-11 00:03:00,Charles St @ Cambridge St Boston Ma,-71.07075,42.361708
230264,2012-05-11 00:03:00,81 Brookline Ave Boston Ma 02215,-71.09902199999999,42.346717
230265,2012-05-11 00:03:00,544 Tremont St Boston Ma 02116,-71.071315,42.34421
230308,2012-05-11 00:04:00,190 Franklin St Boston Ma 02110,-71.05511700000001,42.355743
230309,2012-05-11 00:04:00,Unnamed Road Boston Ma,-71.01845,42.362913
230310,2012-05-11 00:04:00,3 E Newton St Boston Ma 02118,-71.07361800000001,42.338795000000005
230311,2012-05-11 00:04:00,176 Tremont St Boston Ma 02111,-71.064387,42.35307
230312,2012-05-11 00:04:00,360 Commonwealth Ave Boston Ma 02115,-71.088348,42.348908
